Country Name,Country Code,Year,ICT Service Imports (%),ICT Service Exports,Service Imports,Calculated ICT Service Imports,ICT_Exp-Imp,Cloud_Revenue_pC,Cloud_Companies_pP
Albania,ALB,2018,13.7083379164223,80746258.80375452,2309306038.81556,316567475.3251833,-235821216.5214288,4.302740632956543,NaN
Albania,ALB,2019,13.2315592181213,108058262.38528,2393721347.28676,316726657.58305866,-208668395.19777864,6.481248066250939,NaN
Albania,ALB,2020,24.2856369729783,82596607.7851556,1342861970.10294,326122583.10738444,-243525975.32222885,9.776681808181912,NaN
Albania,ALB,2021,12.1943492503167,114601006.022366,1995919700.56926,243389419.04329085,-128788413.02092484,14.80061680562959,NaN
Albania,ALB,2022,10.3018880909848,163589531.142992,2512777696.4279,258863546.261228,-95274015.118236,21.11074584265269,NaN
Albania,ALB,2023,11.1451120364074,214420384.757212,3477656982.64513,387588766.9577448,-173168382.20053276,81.05348870177157,NaN
Albania,ALB,2024,10.0086511110478,239701717.732508,3828555761.16494,383186788.72691935,-143485070.99441135,91.68735693494672,NaN
Algeria,DZA,2018,16.2046974708172,132078821.9369344,11804621908.50384,1912903267.8468547,-1780824445.9099202,0.6958258751711761,NaN
Algeria,DZA,2019,27.5436613778403,90765792.3442339,9938816643.51495,2737514001.254191,-2646748208.909957,1.008446425593811,NaN
Algeria,DZA,2020,43.9225929120882,74097259.4310991,7439805751.53731,3267755593.6978564,-3193658334.266757,1.476046298677559,NaN
Algeria,DZA,2021,35.5131082988618,85419057.9087456,6892092675.88164,2447596336.0437694,-2362177278.135024,2.146176667957684,NaN
Algeria,DZA,2022,38.7133643699529,87433300.762709,7902158963.74468,3059191592.727372,-2971758291.964663,2.865980861854585,NaN
Algeria,DZA,2023,43.3123023323547,84910679.1323481,8211749989.06176,3556697982.039533,-3471787302.907185,7.247464179940275,NaN
Algeria,DZA,2024,42.6393182469306,72750835.4027968,9134040087.49483,3894692421.7091374,-3821941586.3063407,8.690723859280402,NaN
Angola,AGO,2018,16.4228646783444,30919540.0,10089508253.0586,1656986287.110204,-1626066747.110204,0.3490301401195504,0.03197544285988361
Angola,AGO,2019,17.6771694260484,20680180.0,8172270254.26751,1444626058.8014245,-1423945878.8014245,0.4935099662968645,0.03090807937194783
Angola,AGO,2020,25.3487333189914,12353060.0,5602547199.51556,1420174748.6758204,-1407821688.6758204,0.6987005103646281,0.02991504128275697
Angola,AGO,2021,21.1390001018712,31756270.0,7050364017.79285,1490376456.9035208,-1458620186.9035208,0.9901695214318148,0.02898214699744957
Angola,AGO,2022,-3.36206479717302,22333790.0,11296878353.2971,-379808370.295661,402142160.295661,1.687546450628765,0.02809856978279806
Angola,AGO,2023,10.8080565690953,34445380.0,8602980030.58573,929814948.3336778,-895369568.3336778,3.111270793746751,0.02725984080252972
Angola,AGO,2024,12.2523923037767,28750304.4956061,8492283242.05672,1040507858.364676,-1011757553.86907,3.655880266786104,0.02633796881584492
Antigua and Barbuda,ATG,2018,52.5999565251859,7437074.884148148,510176304.787163,268352514.5198477,-260915439.6356996,NaN,NaN
Antigua and Barbuda,ATG,2019,53.2498780104265,7407326.66666666,554686142.222222,295369694.07407403,-287962367.40740734,NaN,NaN
Antigua and Barbuda,ATG,2020,52.4684750349585,5081242.96296296,312310535.185185,163864575.1851841,-158783332.22222114,NaN,NaN
Antigua and Barbuda,ATG,2021,54.5839521349831,5070498.51851851,342610632.592592,187010423.70370325,-181939925.18518475,NaN,NaN
Antigua and Barbuda,ATG,2022,52.5617806315366,4604012.59259259,489412658.888888,257244008.14814785,-252639995.55555525,NaN,NaN
Antigua and Barbuda,ATG,2023,50.3189186229779,5401969.25925925,510856082.962963,257057256.66666576,-251655287.4074065,NaN,NaN
Antigua and Barbuda,ATG,2024,48.2426289545159,6428082.59259259,560419382.592592,270361043.333333,-263932960.7407404,NaN,NaN
Argentina,ARG,2018,32.4305838958097,2240249776.801258,24277430963.87693,7873312616.487388,-5633062839.68613,3.30916254005165,1.663108214406113
Argentina,ARG,2019,37.2187424810793,2090386135.03163,19645594222.0304,7311843122.375289,-5221456987.343658,4.914701725214118,1.713433765771379
Argentina,ARG,2020,54.0303604183749,1992576764.0114,12028020373.258,6498782758.866859,-4506205994.855459,7.300894092692241,1.718932498843026
Argentina,ARG,2021,57.5786079831323,2360129098.60714,13288827175.8107,7651521705.115994,-5291392606.508854,10.84806494064799,1.724551943941147
Argentina,ARG,2022,39.4439807750305,2713843553.02391,21190721716.6389,8358464200.001261,-5644620646.97735,17.76640646426374,1.708662268843949
Argentina,ARG,2023,40.0384550481805,2623884068.00634,22572253726.783,9037581661.75926,-6413697593.75292,34.981330253515,1.693280462972886
Argentina,ARG,2024,40.7903372200823,2702167257.83013,22916771396.1509,9347828332.445316,-6645661074.615187,58.40315427079849,1.676534878292057
Armenia,ARM,2018,8.20940057951881,235757208.1901863,2191628793.084684,179919586.84039515,55837621.34979114,0.7115332417278049,1.010441226002021
Armenia,ARM,2019,8.50328323363462,261674737.761508,2554089256.98047,217181443.56088337,44493294.200624615,1.069461117797765,1.012487343908201
Armenia,ARM,2020,17.0502763558378,328452932.871096,1013767351.25777,172850134.99470666,155602797.87638935,1.604733267404513,1.012829169480081
Armenia,ARM,2021,13.5324082408749,382373107.873803,1373761013.58926,185902948.6128796,196470159.26092345,2.407099901106769,1.012829169480081
